article_nr,name,min_sales_4_mondays,min_batch_size,old_min_stock,new_min_stock,changed
05120,"Torte mit Kakao und Baiser Feniks"" - Klein""",10,6,6,10,1
05121,"Biskuit Torte mit Marshmallow Füllung Jablochnij Zvet"" - Klein""",14,6,0,14,1
05122,"Biskuit Torte mit aromatisierter Fruchtfüllung Hrizontema"" - Klein""",15,6,0,15,1
05126,"Biskuit Torte mit gezuckerter Kondensmilch-Creme und Erdnüssen Orehowij"" - Klein""",11,6,0,11,1
05127,"Torte Praga"" - Klein""",21,6,0,21,1
05128,Red Velvet klein,30,6,0,30,1
05129,Red Velvet Nareznoe,54,6,0,54,1
05130,"Torte Tag und Nacht"" - Klein""",12,1,0,12,1
05500,"Napoleon"" Blätterteig mit Creme""",34,3,0,34,1
05501,"Medowik"" Rührkuchen mit Erdnüssen""",123,20,10,123,1
05502,"Napoleon"" Blätterteig mit Creme",43,8,8,43,1
05504,"Nareznoe"" Cremeschnitte""",105,6,0,105,1
05505,"Ptichye Moloko"" Schaumzucker Torte""",15,28,0,28,1
05506,"Jablochnij Zvet"" Biskuit Torte mit Schaumzuckerschicht""",19,1,0,19,1
05507,"Mischutka"" Rührkuchen mit Fruchtfüllung""",26,12,0,26,1
05508,"Medved"" Rührkuchen mit Fruchtfüllung""",12,4,0,12,1
05510,"Medowik"" Domaschnij Rührkuchen mit gezuckerter Kondensmilch""",92,20,0,92,1
05511,"Biskuit Torte Naked Cake""""",2,6,0,6,1
05512,"Orehowij"" Biskuit Torte mit Erdnüssen""",7,1,0,7,1
05514,"Torzhestwini"" Biskuit Torte mit aromatisierter Fruchtfüllung""",11,1,0,11,1
05515,"Snegurotschka"" Biskuit Torte""",8,1,0,8,1
05516,"Nezhnij"" Biskuit Torte""",25,1,0,25,1
05518,"Kartinka"" Biskuit Torte""",14,1,0,14,1
05519,"Kartinka"" Biskuit Torte""",15,1,0,15,1
05521,"Jubilejnyj"" Biskuit Torte""",27,1,0,27,1
05522,"Jubilejnyj"" Biskuit Torte""",22,1,0,22,1
05524,"Kiev"" Baiser Torte""",14,1,0,14,1
05525,"Sonderbestellung Zakaznoj""""",0,1,0,1,1
05526,"Hrizontema"" Biskuit Torte mit aromatisierter Fruchtfüllung""",13,1,0,13,1
05529,"Schoko-Biskuit-Torte Caramel and Peanut""- klein""",18,1,0,18,1
05530,"Kartoschka"" Törtchen""",199,288,288,288,0
05531,"Ptscholka"" Rührkuchenschnitte mit Dekor""",81,20,0,81,1
05532,"Korzinka"" Sandgebäck-Körbchen mit Baiser""",144,9,100,144,1
05533,"Gribotschki"" Sandgebäck-Körbchen mit Creme""",30,9,0,30,1
05534,"Zawarnoe"" Brandteiggebäck mit Creme""",48,12,0,48,1
05535,"Persik"" Sandgebäck mit gezuckerter Kondensmilch""",15,1,0,15,1
